Read FITS...

Statistics of 60 x 60 x 70 image. Number of axis = 3. Bits per pixel=-32.
Command: ./main
Filtering image 'small_cube.fits' using attribute area with lambda=100.000000.
FreeImage version: 3.18.0
Image: Width=60 Height=60 Depth=70 Size=252000 Size2D=3600. nthreads for sorting and quantize the max tree: 4.
Size of int=4. Size of long=8. Size of float=4. Size of double=8.
/*** Sort the pixels ***/
Radix Sort (steps=2)
/*** Calculate the quantized image ***/
/*** Build the max tree of the quantized image. (threads 4)***/
63260 -1 172432
67551 -1 52910
63261 -1 166656
67552 -1 120527
63262 -1 236198
63280 -1 212745
63281 -1 207248
63282 -1 34303
63283 -1 25735
63284 -1 91964
63285 -1 217062
63286 -1 239738
63287 -1 138193
67555 -1 246316
63313 -1 26088
67556 -1 213794
67563 -1 58253
63314 -1 144501
67564 -1 114779
63315 -1 193108
67565 -1 250612
63316 -1 81965
67566 -1 182585
63318 -1 49420
67567 -1 76302
63319 -1 7702
67568 -1 15395
63320 -1 198431
67584 -1 92380
63321 -1 96453
67585 -1 209006
63340 -1 189109
67586 -1 34818
63341 -1 20044
67599 -1 221805
63342 -1 55197
67600 -1 81846
63343 -1 214201
67601 -1 218041
63344 -1 18289
67602 -1 62780
63345 -1 202323
67603 -1 93243
63346 -1 40382
67604 -1 251122
63373 -1 178927
67607 -1 218600
63374 -1 47894
67608 -1 66874
63377 -1 223350
67609 -1 175597
63378 -1 106477
67610 -1 198029
63379 -1 194436
67611 -1 235216
63380 -1 44554
67621 -1 247184
67622 -1 76777
67623 -1 29100
67624 -1 20135
67625 -1 183177
67645 -1 207702
67648 -1 136367
63401 -1 35148
67657 -1 170574
63402 -1 200391
67658 -1 98802
63403 -1 210241
67659 -1 58034
63404 -1 64016
67660 -1 195547
63405 -1 98081
67661 -1 35808
63406 -1 114359
67665 -1 83916
63432 -1 62613
67666 -1 204834
67667 -1 126005
63433 -1 210306
67668 -1 147413
63464 -1 98859
67669 -1 64557
63465 -1 8785
67670 -1 58782
67671 -1 170603
63466 -1 209914
67680 -1 164522
63486 -1 36239
67681 -1 220008
63492 -1 53056
67682 -1 214225
63493 -1 244385
67683 -1 224065
63524 -1 186317
67684 -1 91399
63525 -1 105259
67709 -1 7960
63552 -1 247089
67717 -1 221702
63553 -1 99274
67718 -1 7028
63554 -1 13450
67719 -1 144903
63562 -1 17319
67726 -1 45264
63585 -1 179073
67727 -1 27504
63613 -1 45558
67728 -1 68996
63614 -1 248057
67729 -1 173502
63615 -1 80635
67730 -1 140986
63616 -1 241541
67731 -1 12245
63617 -1 193701
67743 -1 50234
63622 -1 105635
67769 -1 147579
63673 -1 144770
67770 -1 7996
63674 -1 127126
67777 -1 115983
63675 -1 32117
67778 -1 212550
63676 -1 16700
67804 -1 70420
63677 -1 145298
67828 -1 4723
63678 -1 39196
67829 -1 221182
63681 -1 133351
67830 -1 218132
63722 -1 70625
67836 -1 156745
63733 -1 37486
67837 -1 135939
63734 -1 55231
67838 -1 25736
63735 -1 242375
67865 -1 16020
67885 -1 63188
67886 -1 211857
